timestamp,/auv25/imu/odom_estimate,/auv25/imu/raw,/auv25/sensor_packet,/cmd_vel,/thruster_output
2025-11-27 13:44:33.476,"[-255.70607492253603, 4563.556366732522, -545.7348319334592, -0.3038929427453616, -0.07226761640322413, 0.17256210851224105, 0.9341567265051246]","[0.0, 0.0, 0.0, 1.0, -0.0063950995492922, 0.06954670759855268, 0.0005329249624410166, -9.332598071289063, -0.3806780639648437, -3.3351229125976563]","[14872, 0, 24034, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.527,"[-257.7922586430703, 4579.5135542263315, -547.7699391308331, -0.3038631748338802, -0.07230847400840197, 0.17265946724121142, 0.9341452584788043]","[0.0, 0.0, 0.0, 1.0, -0.0021316998497640663, 0.058355283387291325, 0.0014655436467127959, -9.265560424804686, -0.3806780639648437, -3.3399113159179685]","[14872, 0, 24034, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.577,"[-257.7922586430703, 4579.5135542263315, -547.7699391308331, -0.3038631748338802, -0.07230847400840197, 0.17265946724121142, 0.9341452584788043]","[0.0, 0.0, 0.0, 1.0, -0.0021316998497640663, 0.058355283387291325, 0.0014655436467127959, -9.265560424804686, -0.3806780639648437, -3.3399113159179685]","[16886, 0, 25945, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.627,"[-259.8824049387638, 4595.469333730234, -549.8060839812888, -0.3034063657512744, -0.07225355807438473, 0.17289875130534282, 0.9342537248329538]","[0.0, 0.0, 0.0, 1.0, -0.004130168458917879, 0.049029096544573526, 0.006128637068071691, -9.157821350097656, -0.5506663818359374, -3.303998291015625]","[16886, 0, 25945, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.677,"[-259.8824049387638, 4595.469333730234, -549.8060839812888, -0.3034063657512744, -0.07225355807438473, 0.17289875130534282, 0.9342537248329538]","[0.0, 0.0, 0.0, 1.0, -0.004130168458917879, 0.049029096544573526, 0.006128637068071691, -9.157821350097656, -0.5506663818359374, -3.303998291015625]","[16886, 0, 25945, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.727,"[-261.9720883983021, 4611.385949491393, -551.8349182914193, -0.30364527871955754, -0.07232121533098225, 0.17317467167688758, 0.9341197565697741]","[0.0, 0.0, 0.0, 1.0, -0.0058621745868511835, 0.06181929564315793, 0.005462480865020421, -9.437942944335937, -0.5003881469726562, -3.5338416503906247]","[16886, 0, 25945, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.777,"[-261.9720883983021, 4611.385949491393, -551.8349182914193, -0.30364527871955754, -0.07232121533098225, 0.17317467167688758, 0.9341197565697741]","[0.0, 0.0, 0.0, 1.0, -0.0058621745868511835, 0.06181929564315793, 0.005462480865020421, -9.437942944335937, -0.5003881469726562, -3.5338416503906247]","[16901, 0, 23995, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.827,"[-264.08303060034496, 4627.415826743535, -553.878144579165, -0.3038842324652106, -0.07230551429619311, 0.17350777056899713, 0.9339814448979001]","[0.0, 0.0, 0.0, 1.0, -0.0063950995492922, 0.06368453301170149, 0.004263399699528133, -9.294290844726563, -0.33758243408203126, -3.3542765258789062]","[16901, 0, 23995, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.877,"[-264.08303060034496, 4627.415826743535, -553.878144579165, -0.3038842324652106, -0.07230551429619311, 0.17350777056899713, 0.9339814448979001]","[0.0, 0.0, 0.0, 1.0, -0.0063950995492922, 0.06368453301170149, 0.004263399699528133, -9.294290844726563, -0.33758243408203126, -3.3542765258789062]","[16901, 0, 23995, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.927,"[-266.1949036388484, 4643.410695716957, -555.9177680464012, -0.30327112589709654, -0.07192768572178518, 0.173808357924381, 0.9341539953024048]","[0.0, 0.0, 0.0, 1.0, -0.0031975497746461, 0.04769678413847099, 0.009725880564548555, -9.275137231445312, -0.4381389038085937, -3.1842882080078123]","[16901, 0, 23995, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:33.977,"[-266.1949036388484, 4643.410695716957, -555.9177680464012, -0.30327112589709654, -0.07192768572178518, 0.173808357924381, 0.9341539953024048]","[0.0, 0.0, 0.0, 1.0, -0.0031975497746461, 0.04769678413847099, 0.009725880564548555, -9.275137231445312, -0.4381389038085937, -3.1842882080078123]","[16901, 0, 23995, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.027,"[-268.31563850461043, 4659.44433543044, -557.9634349904026, -0.3037558098155943, -0.07245711635571063, 0.1741955195889724, 0.9338834484280228]","[0.0, 0.0, 0.0, 1.0, -0.011058192970651094, 0.06914701387672191, 0.0003996937218307625, -9.119514123535156, -0.5674257934570313, -3.394977954101562]","[16901, 0, 23995, 0, -97, 2000]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
2025-11-27 13:44:34.077,"[-268.31563850461043, 4659.44433543044, -557.9634349904026, -0.3037558098155943, -0.07245711635571063, 0.1741955195889724, 0.9338834484280228]","[0.0, 0.0, 0.0, 1.0, -0.011058192970651094, 0.06914701387672191, 0.0003996937218307625, -9.119514123535156, -0.5674257934570313, -3.394977954101562]","[16526, 0, 25949, 0, -97, 1998]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
